Sample no,sin(x),Inclinometer Y,Inclinometer Y (-256; 256)
1,0,0,0
2,0.01,0,0
3,0.01,0,0
4,0.02,0,0
5,0.02,0,0
6,0.03,0,0
7,0.03,0,0
8,0.04,0,0
9,0.04,0,0
10,0.05,0,0
11,0.05,0,0
12,0.06,0,0
13,0.06,0,0
14,0.06,0,0
15,0.07,0,0
16,0.07,0,0
17,0.08,0,0
18,0.08,0,0
19,0.09,0,0
20,0.09,0,0
21,0.1,0,0
22,0.1,0,0
23,0.11,0,0
24,0.11,0,0
25,0.11,0,0
26,0.12,0,0
27,0.12,0,0
28,0.13,0,0
29,0.13,0,0
30,0.14,0,0
31,0.14,0,0
32,0.15,0,0
33,0.15,0,0
34,0.15,0,0
35,0.16,0,0
36,0.16,0,0
37,0.17,0,0
38,0.17,0,0
39,0.18,0,0
40,0.18,0,0
41,0.19,0,0
42,0.19,0,0
43,0.19,0,0
44,0.2,0,0
45,0.2,0,0
46,0.21,0,0
47,0.21,0,0
48,0.22,0,0
49,0.22,0,0
50,0.22,0,0
51,0.23,0,0
52,0.23,0,0
53,0.24,0,0
54,0.24,0,0
55,0.24,0,0
56,0.25,0,0
57,0.25,0,0
58,0.26,0,0
59,0.26,0,0
60,0.26,0,0
61,0.27,0,0
62,0.27,0,0
63,0.28,0,0
64,0.28,0,0
65,0.28,0,0
66,0.29,0,0
67,0.29,0,0
68,0.3,0,0
69,0.3,0,0
70,0.3,0,0
71,0.31,0,0
72,0.31,0,0
73,0.31,0,0
74,0.32,0,0
75,0.32,0,0
76,0.32,0,0
77,0.33,0,0
78,0.33,0,0
79,0.33,0,0
80,0.34,0,0
81,0.34,0,0
82,0.35,0,0
83,0.35,0,0
84,0.35,0,0
85,0.36,0,0
86,0.36,0,0
87,0.36,0,0
88,0.36,0,0
89,0.37,0,0
90,0.37,0,0
91,0.37,0,0
92,0.38,0,0
93,0.38,0,0
94,0.38,0,0
95,0.39,0,0
96,0.39,0,0
97,0.39,0,0
98,0.4,0,0
99,0.4,0,0
100,0.4,0,0
101,0.4,0,0
102,0.41,0,0
103,0.41,0,0
104,0.41,0,0
105,0.41,0,0
106,0.42,0,0
107,0.42,0,0
108,0.42,0,0
109,0.42,0,0
110,0.43,0,0
111,0.43,0,0
112,0.43,0,0
113,0.43,0,0
114,0.44,0,0
115,0.44,0,0
116,0.44,0,0
117,0.44,0,0
118,0.44,0,0
119,0.45,0,0
120,0.45,0,0
121,0.45,0,0
122,0.45,0,0
123,0.46,0,0
124,0.46,0,0
125,0.46,0,0
126,0.46,0,0
127,0.46,0,0
128,0.46,0,0
129,0.47,0,0
130,0.47,0,0
131,0.47,0,0
132,0.47,0,0
133,0.47,0,0
134,0.47,0,0
135,0.48,0,0
136,0.48,0,0
137,0.48,0,0
138,0.48,0,0
139,0.48,0,0
140,0.48,0,0
141,0.48,0,0
142,0.48,0,0
143,0.49,0,0
144,0.49,0,0
145,0.49,0,0
146,0.49,0,0
147,0.49,0,0
148,0.49,0,0
149,0.49,0,0
150,0.49,0,0
151,0.49,243,-13
152,0.49,243,-13
153,0.49,243,-13
154,0.5,243,-13
155,0.5,243,-13
156,0.5,243,-13
157,0.5,243,-13
158,0.5,243,-13
159,0.5,243,-13
160,0.5,243,-13
161,0.5,243,-13
162,0.5,243,-13
163,0.5,243,-13
164,0.5,242,-14
165,0.5,242,-14
166,0.5,242,-14
167,0.5,242,-14
168,0.5,242,-14
169,0.5,243,-13
170,0.5,243,-13
171,0.5,243,-13
172,0.5,243,-13
173,0.5,243,-13
174,0.5,243,-13
175,0.5,243,-13
176,0.5,244,-12
177,0.5,244,-12
178,0.5,244,-12
179,0.5,244,-12
180,0.5,244,-12
181,0.5,245,-11
182,0.5,245,-11
183,0.49,245,-11
184,0.49,245,-11
185,0.49,245,-11
186,0.49,245,-11
187,0.49,246,-10
188,0.49,246,-10
189,0.49,246,-10
190,0.49,246,-10
191,0.49,246,-10
192,0.49,246,-10
193,0.48,246,-10
194,0.48,247,-9
195,0.48,247,-9
196,0.48,247,-9
197,0.48,247,-9
198,0.48,247,-9
199,0.48,247,-9
200,0.48,247,-9
201,0.47,247,-9
202,0.47,247,-9
203,0.47,247,-9
204,0.47,247,-9
205,0.47,247,-9
206,0.47,247,-9
207,0.46,247,-9
208,0.46,247,-9
209,0.46,247,-9
210,0.46,247,-9
211,0.46,247,-9
212,0.45,247,-9
213,0.45,247,-9
214,0.45,247,-9
215,0.45,247,-9
216,0.44,247,-9
217,0.44,247,-9
218,0.44,247,-9
219,0.44,247,-9
220,0.44,247,-9
221,0.43,247,-9
222,0.43,247,-9
223,0.43,247,-9
224,0.43,247,-9
225,0.42,247,-9
226,0.42,247,-9
227,0.42,247,-9
228,0.41,247,-9
229,0.41,247,-9
230,0.41,247,-9
231,0.41,247,-9
232,0.4,247,-9
233,0.4,247,-9
234,0.4,247,-9
235,0.39,247,-9
236,0.39,247,-9
237,0.39,247,-9
238,0.39,247,-9
239,0.38,247,-9
240,0.38,247,-9
241,0.38,247,-9
242,0.37,247,-9
243,0.37,247,-9
244,0.37,247,-9
245,0.36,247,-9
246,0.36,247,-9
247,0.36,247,-9
248,0.35,247,-9
249,0.35,247,-9
250,0.35,247,-9
251,0.34,246,-10
252,0.34,246,-10
253,0.33,246,-10
254,0.33,246,-10
255,0.33,246,-10
256,0.32,246,-10
257,0.32,246,-10
258,0.32,246,-10
259,0.31,246,-10
260,0.31,246,-10
261,0.3,246,-10
262,0.3,246,-10
263,0.3,245,-11
264,0.29,245,-11
265,0.29,245,-11
266,0.28,245,-11
267,0.28,245,-11
268,0.28,245,-11
269,0.27,245,-11
270,0.27,245,-11
271,0.26,245,-11
272,0.26,245,-11
273,0.25,245,-11
274,0.25,245,-11
275,0.25,245,-11
276,0.24,245,-11
277,0.24,245,-11
278,0.23,245,-11
279,0.23,245,-11
280,0.22,245,-11
281,0.22,245,-11
282,0.22,245,-11
283,0.21,245,-11
284,0.21,245,-11
285,0.2,245,-11
286,0.2,245,-11
287,0.19,245,-11
288,0.19,245,-11
289,0.18,245,-11
290,0.18,246,-10
291,0.17,246,-10
292,0.17,246,-10
293,0.17,246,-10
294,0.16,246,-10
295,0.16,246,-10
296,0.15,246,-10
297,0.15,246,-10
298,0.14,246,-10
299,0.14,246,-10
300,0.13,246,-10
301,0.13,246,-10
302,0.12,246,-10
303,0.12,246,-10
304,0.11,246,-10
305,0.11,246,-10
306,0.1,246,-10
307,0.1,246,-10
308,0.09,246,-10
309,0.09,246,-10
310,0.08,246,-10
311,0.08,246,-10
312,0.07,246,-10
313,0.07,246,-10
314,0.07,246,-10
315,0.06,246,-10
316,0.06,246,-10
317,0.05,246,-10
318,0.05,246,-10
319,0.04,246,-10
320,0.04,246,-10
321,0.03,246,-10
322,0.03,246,-10
323,0.02,246,-10
324,0.02,246,-10
325,0.01,245,-11
326,0.01,245,-11
327,0,245,-11
328,0,245,-11
329,-0.01,245,-11
330,-0.01,245,-11
331,-0.02,245,-11
332,-0.02,245,-11
333,-0.03,244,-12
334,-0.03,244,-12
335,-0.04,244,-12
336,-0.04,244,-12
337,-0.05,244,-12
338,-0.05,244,-12
339,-0.06,243,-13
340,-0.06,243,-13
341,-0.07,243,-13
342,-0.07,243,-13
343,-0.08,243,-13
344,-0.08,243,-13
345,-0.09,242,-14
346,-0.09,242,-14
347,-0.1,242,-14
348,-0.1,242,-14
349,-0.11,242,-14
350,-0.11,242,-14
351,-0.12,241,-15
352,-0.12,241,-15
353,-0.13,241,-15
354,-0.13,241,-15
355,-0.14,241,-15
356,-0.14,240,-16
357,-0.15,240,-16
358,-0.15,240,-16
359,-0.16,240,-16
360,-0.16,240,-16
361,-0.16,240,-16
362,-0.17,240,-16
363,-0.17,239,-17
364,-0.18,239,-17
365,-0.18,239,-17
366,-0.19,239,-17
367,-0.19,239,-17
368,-0.2,239,-17
369,-0.2,239,-17
370,-0.21,239,-17
371,-0.21,239,-17
372,-0.21,239,-17
373,-0.22,239,-17
374,-0.22,239,-17
375,-0.23,239,-17
376,-0.23,239,-17
377,-0.24,239,-17
378,-0.24,239,-17
379,-0.24,239,-17
380,-0.25,239,-17
381,-0.25,239,-17
382,-0.26,239,-17
383,-0.26,239,-17
384,-0.27,240,-16
