Sample no,sin(x),Inclinometer Y,Inclinometer Y (-256; 256)
1,0.13,0,0
2,0.26,0,0
3,0.38,0,0
4,0.46,0,0
5,0.5,0,0
6,0.49,0,0
7,0.44,0,0
8,0.36,0,0
9,0.24,0,0
10,0.1,0,0
11,-0.05,0,0
12,-0.19,0,0
13,-0.32,0,0
14,-0.42,0,0
15,-0.48,0,0
16,-0.5,0,0
17,-0.47,0,0
18,-0.4,0,0
19,-0.3,0,0
20,-0.16,0,0
21,-0.02,0,0
22,0.13,0,0
23,0.27,0,0
24,0.38,0,0
25,0.46,0,0
26,0.5,0,0
27,0.49,0,0
28,0.44,0,0
29,0.35,0,0
30,0.23,0,0
31,0.09,0,0
32,-0.05,0,0
33,-0.2,0,0
34,-0.33,0,0
35,-0.42,0,0
36,-0.48,0,0
37,-0.5,0,0
38,-0.47,0,0
39,-0.4,0,0
40,-0.29,0,0
41,-0.16,0,0
42,-0.01,0,0
43,0.14,0,0
44,0.27,0,0
45,0.39,0,0
46,0.46,0,0
47,0.5,0,0
48,0.49,0,0
49,0.44,0,0
50,0.35,0,0
51,0.23,0,0
52,0.09,0,0
53,-0.06,0,0
54,-0.2,0,0
55,-0.33,0,0
56,-0.43,0,0
57,-0.49,0,0
58,-0.5,0,0
59,-0.47,0,0
60,-0.39,0,0
61,-0.29,0,0
62,-0.15,0,0
63,0,0,0
64,0.15,0,0
65,0.28,0,0
66,0.39,0,0
67,0.46,0,0
68,0.5,0,0
69,0.49,0,0
70,0.44,0,0
71,0.34,0,0
72,0.22,0,0
73,0.08,0,0
74,-0.07,0,0
75,-0.21,0,0
76,-0.34,0,0
77,-0.43,0,0
78,-0.49,0,0
79,-0.5,0,0
80,-0.47,0,0
81,-0.39,0,0
82,-0.28,0,0
83,-0.15,0,0
84,0,0,0
85,0.15,0,0
86,0.28,0,0
87,0.39,0,0
88,0.47,0,0
89,0.5,0,0
90,0.49,0,0
91,0.43,0,0
92,0.34,0,0
93,0.22,0,0
94,0.08,0,0
95,-0.07,0,0
96,-0.21,0,0
97,-0.34,0,0
98,-0.43,0,0
99,-0.49,0,0
100,-0.5,0,0
101,-0.46,0,0
102,-0.39,0,0
103,-0.28,0,0
104,-0.14,0,0
105,0.01,0,0
106,0.16,0,0
107,0.29,0,0
108,0.4,0,0
109,0.47,0,0
110,0.5,0,0
111,0.49,0,0
112,0.43,0,0
113,0.34,0,0
114,0.21,0,0
115,0.07,0,0
116,-0.08,0,0
117,-0.22,0,0
118,-0.34,0,0
119,-0.44,0,0
120,-0.49,0,0
121,-0.5,0,0
122,-0.46,0,0
123,-0.38,0,0
124,-0.27,0,0
125,-0.13,0,0
126,0.01,0,0
127,0.16,0,0
128,0.29,0,0
129,0.4,0,0
130,0.47,0,0
131,0.5,0,0
132,0.49,0,0
133,0.43,0,0
134,0.33,0,0
135,0.21,0,0
136,0.07,0,0
137,-0.08,0,0
138,-0.22,0,0
139,-0.35,0,0
140,-0.44,0,0
141,-0.49,0,0
142,-0.5,0,0
143,-0.46,0,0
144,-0.38,0,0
145,-0.27,0,0
146,-0.13,0,0
147,0.02,0,0
148,0.17,0,0
149,0.3,0,0
150,0.4,0,0
151,0.47,0,0
152,0.5,0,0
153,0.48,0,0
154,0.42,0,0
155,0.33,0,0
156,0.2,0,0
157,0.06,0,0
158,-0.09,0,0
159,-0.23,0,0
160,-0.35,0,0
161,-0.44,0,0
162,-0.49,0,0
163,-0.5,0,0
164,-0.46,0,0
165,-0.37,0,0
166,-0.26,0,0
167,-0.12,0,0
168,0.03,255,-1
169,0.18,255,-1
170,0.31,254,-2
171,0.42,254,-2
172,0.48,253,-3
173,0.5,253,-3
174,0.47,253,-3
175,0.4,252,-4
176,0.29,252,-4
177,0.16,251,-5
178,0,251,-5
179,-0.15,251,-5
180,-0.29,250,-6
181,-0.4,250,-6
182,-0.47,250,-6
183,-0.5,250,-6
184,-0.48,249,-7
185,-0.41,249,-7
186,-0.31,249,-7
187,-0.17,248,-8
188,-0.02,248,-8
189,0.13,248,-8
190,0.27,248,-8
191,0.39,248,-8
192,0.46,247,-9
193,0.5,247,-9
194,0.49,247,-9
195,0.43,247,-9
196,0.33,247,-9
197,0.2,248,-8
198,0.05,248,-8
199,-0.1,248,-8
200,-0.24,249,-7
201,-0.37,249,-7
202,-0.45,249,-7
203,-0.5,249,-7
204,-0.49,250,-6
205,-0.44,250,-6
206,-0.35,250,-6
207,-0.22,251,-5
208,-0.07,251,-5
209,0.09,251,-5
210,0.23,251,-5
211,0.35,251,-5
212,0.44,252,-4
213,0.49,252,-4
214,0.5,252,-4
215,0.45,252,-4
216,0.37,252,-4
217,0.25,253,-3
218,0.1,253,-3
219,-0.05,253,-3
220,-0.2,253,-3
221,-0.33,253,-3
222,-0.43,253,-3
223,-0.49,253,-3
224,-0.5,253,-3
225,-0.46,253,-3
226,-0.38,253,-3
227,-0.26,253,-3
228,-0.12,253,-3
229,0.04,252,-4
230,0.18,252,-4
231,0.32,252,-4
232,0.42,252,-4
233,0.48,251,-5
234,0.5,251,-5
235,0.47,251,-5
236,0.4,251,-5
237,0.29,250,-6
238,0.15,250,-6
239,-0.01,250,-6
240,-0.16,250,-6
241,-0.3,250,-6
242,-0.41,250,-6
243,-0.48,250,-6
244,-0.5,250,-6
245,-0.47,250,-6
246,-0.4,250,-6
247,-0.29,250,-6
248,-0.14,249,-7
249,0.01,249,-7
250,0.16,249,-7
251,0.3,249,-7
252,0.41,249,-7
253,0.48,250,-6
254,0.5,250,-6
255,0.47,250,-6
256,0.4,250,-6
257,0.29,251,-5
258,0.15,251,-5
259,0,251,-5
260,-0.15,251,-5
261,-0.29,252,-4
262,-0.4,252,-4
263,-0.48,253,-3
264,-0.5,253,-3
265,-0.48,253,-3
266,-0.4,254,-2
267,-0.29,254,-2
268,-0.15,254,-2
269,0,254,-2
270,0.15,255,-1
271,0.29,255,-1
272,0.4,255,-1
273,0.47,255,-1
274,0.5,0,0
275,0.48,0,0
276,0.41,0,0
277,0.31,0,0
278,0.18,0,0
279,0.03,0,0
280,-0.12,0,0
281,-0.26,0,0
282,-0.38,1,1
283,-0.46,1,1
284,-0.5,1,1
285,-0.49,0,0
286,-0.44,0,0
287,-0.34,0,0
288,-0.22,0,0
289,-0.07,0,0
290,0.08,0,0
291,0.22,255,-1
292,0.35,255,-1
293,0.44,254,-2
294,0.49,254,-2
295,0.5,253,-3
296,0.45,253,-3
297,0.36,252,-4
298,0.24,251,-5
299,0.09,251,-5
300,-0.06,250,-6
301,-0.21,250,-6
302,-0.34,249,-7
303,-0.44,248,-8
304,-0.49,248,-8
305,-0.5,248,-8
306,-0.45,247,-9
307,-0.36,247,-9
308,-0.24,247,-9
309,-0.09,246,-10
310,0.07,246,-10
311,0.22,246,-10
312,0.35,246,-10
313,0.44,245,-11
314,0.49,245,-11
315,0.5,245,-11
316,0.45,245,-11
317,0.37,246,-10
318,0.24,246,-10
319,0.1,246,-10
320,-0.06,246,-10
321,-0.21,247,-9
322,-0.34,247,-9
323,-0.44,248,-8
324,-0.49,248,-8
325,-0.5,249,-7
326,-0.45,249,-7
327,-0.37,250,-6
328,-0.24,250,-6
329,-0.09,251,-5
330,0.06,251,-5
331,0.21,251,-5
332,0.34,251,-5
333,0.44,252,-4
334,0.49,252,-4
335,0.5,253,-3
336,0.46,253,-3
337,0.37,254,-2
338,0.25,254,-2
339,0.1,255,-1
340,-0.05,255,-1
341,-0.2,255,-1
342,-0.33,0,0
343,-0.43,0,0
344,-0.49,0,0
345,-0.5,0,0
346,-0.46,0,0
347,-0.38,0,0
348,-0.27,0,0
349,-0.13,0,0
350,0.02,0,0
351,0.17,255,-1
352,0.31,255,-1
353,0.41,255,-1
354,0.48,254,-2
355,0.5,254,-2
356,0.47,254,-2
357,0.4,253,-3
358,0.29,253,-3
359,0.15,253,-3
360,0,253,-3
361,-0.16,252,-4
362,-0.3,252,-4
