Sample no,sin(x),Inclinometer Y,Inclinometer Y (-256; 256)
1,0.01,0,0
2,0.02,0,0
3,0.04,0,0
4,0.05,0,0
5,0.06,0,0
6,0.07,0,0
7,0.09,0,0
8,0.1,0,0
9,0.11,0,0
10,0.12,0,0
11,0.13,0,0
12,0.15,0,0
13,0.16,0,0
14,0.17,0,0
15,0.18,0,0
16,0.2,0,0
17,0.21,0,0
18,0.22,0,0
19,0.23,0,0
20,0.24,0,0
21,0.26,0,0
22,0.27,0,0
23,0.28,0,0
24,0.29,0,0
25,0.3,0,0
26,0.32,0,0
27,0.33,0,0
28,0.34,0,0
29,0.35,0,0
30,0.36,0,0
31,0.37,0,0
32,0.39,0,0
33,0.4,0,0
34,0.41,0,0
35,0.42,0,0
36,0.43,0,0
37,0.44,0,0
38,0.45,0,0
39,0.46,0,0
40,0.47,0,0
41,0.49,0,0
42,0.5,0,0
43,0.51,0,0
44,0.52,0,0
45,0.53,0,0
46,0.54,0,0
47,0.55,0,0
48,0.56,0,0
49,0.57,0,0
50,0.58,0,0
51,0.59,0,0
52,0.6,0,0
53,0.61,0,0
54,0.62,0,0
55,0.63,0,0
56,0.64,0,0
57,0.65,0,0
58,0.66,0,0
59,0.67,0,0
60,0.68,0,0
61,0.69,0,0
62,0.69,0,0
63,0.7,0,0
64,0.71,0,0
65,0.72,0,0
66,0.73,0,0
67,0.74,0,0
68,0.75,0,0
69,0.75,0,0
70,0.76,0,0
71,0.77,0,0
72,0.78,0,0
73,0.79,0,0
74,0.79,0,0
75,0.8,0,0
76,0.81,0,0
77,0.82,0,0
78,0.82,0,0
79,0.83,0,0
80,0.84,0,0
81,0.84,0,0
82,0.85,0,0
83,0.86,0,0
84,0.86,0,0
85,0.87,0,0
86,0.88,0,0
87,0.88,0,0
88,0.89,0,0
89,0.89,0,0
90,0.9,0,0
91,0.9,0,0
92,0.91,0,0
93,0.91,0,0
94,0.92,0,0
95,0.92,0,0
96,0.93,0,0
97,0.93,0,0
98,0.94,0,0
99,0.94,0,0
100,0.95,0,0
101,0.95,0,0
102,0.95,0,0
103,0.96,0,0
104,0.96,0,0
105,0.96,0,0
106,0.97,0,0
107,0.97,0,0
108,0.97,0,0
109,0.98,0,0
110,0.98,0,0
111,0.98,0,0
112,0.98,0,0
113,0.99,0,0
114,0.99,0,0
115,0.99,0,0
116,0.99,0,0
117,0.99,0,0
118,0.99,0,0
119,1,0,0
120,1,0,0
121,1,0,0
122,1,0,0
123,1,0,0
124,1,0,0
125,1,0,0
126,1,0,0
127,1,0,0
128,1,0,0
129,1,0,0
130,1,0,0
131,1,0,0
132,1,0,0
133,1,0,0
134,1,0,0
135,0.99,0,0
136,0.99,0,0
137,0.99,0,0
138,0.99,0,0
139,0.99,0,0
140,0.99,0,0
141,0.98,0,0
142,0.98,0,0
143,0.98,0,0
144,0.98,0,0
145,0.97,0,0
146,0.97,0,0
147,0.97,0,0
148,0.97,2,2
149,0.96,2,2
150,0.96,2,2
151,0.95,2,2
152,0.95,2,2
153,0.95,2,2
154,0.94,2,2
155,0.94,2,2
156,0.93,1,1
157,0.93,1,1
158,0.93,1,1
159,0.92,1,1
160,0.92,1,1
161,0.91,1,1
162,0.91,1,1
163,0.9,1,1
164,0.89,1,1
165,0.89,1,1
166,0.88,1,1
167,0.88,1,1
168,0.87,1,1
169,0.87,1,1
170,0.86,1,1
171,0.85,1,1
172,0.85,1,1
173,0.84,1,1
174,0.83,1,1
175,0.83,1,1
176,0.82,2,2
177,0.81,2,2
178,0.8,2,2
179,0.8,2,2
180,0.79,2,2
181,0.78,2,2
182,0.77,3,3
183,0.77,3,3
184,0.76,3,3
185,0.75,3,3
186,0.74,3,3
187,0.73,3,3
188,0.72,3,3
189,0.72,3,3
190,0.71,3,3
191,0.7,3,3
192,0.69,3,3
193,0.68,3,3
194,0.67,3,3
195,0.66,3,3
196,0.65,2,2
197,0.64,2,2
198,0.63,2,2
199,0.62,2,2
200,0.61,2,2
201,0.6,1,1
202,0.59,1,1
203,0.58,1,1
204,0.57,1,1
205,0.56,0,0
206,0.55,0,0
207,0.54,0,0
208,0.53,0,0
209,0.52,0,0
210,0.51,0,0
211,0.5,0,0
212,0.48,0,0
213,0.47,0,0
214,0.46,0,0
215,0.45,0,0
216,0.44,0,0
217,0.43,0,0
218,0.42,0,0
219,0.41,0,0
220,0.4,0,0
221,0.38,0,0
222,0.37,0,0
223,0.36,0,0
224,0.35,0,0
225,0.34,0,0
226,0.33,0,0
227,0.31,0,0
228,0.3,0,0
229,0.29,0,0
230,0.28,0,0
231,0.27,0,0
232,0.25,0,0
233,0.24,0,0
234,0.23,0,0
235,0.22,0,0
236,0.21,0,0
237,0.19,0,0
238,0.18,0,0
239,0.17,0,0
240,0.16,0,0
241,0.15,0,0
242,0.13,0,0
243,0.12,0,0
244,0.11,0,0
245,0.1,0,0
246,0.08,0,0
247,0.07,0,0
248,0.06,0,0
249,0.05,0,0
250,0.03,0,0
251,0.02,0,0
252,0.01,0,0
253,0,0,0
254,-0.02,0,0
255,-0.03,0,0
256,-0.04,0,0
257,-0.05,0,0
258,-0.07,0,0
259,-0.08,0,0
260,-0.09,0,0
261,-0.1,0,0
262,-0.12,0,0
263,-0.13,0,0
264,-0.14,0,0
265,-0.15,0,0
266,-0.17,0,0
267,-0.18,0,0
268,-0.19,0,0
269,-0.2,0,0
270,-0.22,0,0
271,-0.23,0,0
272,-0.24,0,0
273,-0.25,0,0
274,-0.26,0,0
275,-0.28,0,0
276,-0.29,0,0
277,-0.3,0,0
278,-0.31,0,0
279,-0.32,0,0
280,-0.34,0,0
281,-0.35,0,0
282,-0.36,0,0
283,-0.37,0,0
284,-0.38,0,0
285,-0.39,0,0
286,-0.41,0,0
287,-0.42,0,0
288,-0.43,0,0
289,-0.44,0,0
290,-0.45,0,0
291,-0.46,0,0
292,-0.47,0,0
293,-0.48,0,0
294,-0.5,0,0
295,-0.51,0,0
296,-0.52,0,0
297,-0.53,0,0
298,-0.54,0,0
299,-0.55,0,0
300,-0.56,0,0
301,-0.57,0,0
302,-0.58,0,0
303,-0.59,0,0
304,-0.6,0,0
305,-0.61,0,0
306,-0.62,0,0
307,-0.63,0,0
308,-0.64,0,0
309,-0.65,0,0
310,-0.66,0,0
311,-0.67,0,0
312,-0.68,0,0
313,-0.69,0,0
314,-0.7,0,0
315,-0.7,0,0
316,-0.71,0,0
317,-0.72,0,0
318,-0.73,0,0
319,-0.74,0,0
320,-0.75,0,0
321,-0.76,0,0
322,-0.76,0,0
323,-0.77,0,0
324,-0.78,0,0
325,-0.79,0,0
326,-0.8,0,0
327,-0.8,0,0
328,-0.81,0,0
329,-0.82,0,0
330,-0.83,0,0
331,-0.83,0,0
332,-0.84,0,0
333,-0.85,0,0
334,-0.85,0,0
335,-0.86,0,0
336,-0.87,0,0
337,-0.87,0,0
338,-0.88,0,0
339,-0.88,0,0
340,-0.89,0,0
341,-0.9,0,0
342,-0.9,0,0
343,-0.91,0,0
344,-0.91,0,0
345,-0.92,0,0
346,-0.92,0,0
347,-0.93,0,0
348,-0.93,0,0
349,-0.94,0,0
350,-0.94,0,0
351,-0.94,0,0
352,-0.95,0,0
353,-0.95,0,0
354,-0.96,0,0
355,-0.96,0,0
356,-0.96,0,0
357,-0.97,0,0
358,-0.97,0,0
359,-0.97,0,0
360,-0.98,0,0
361,-0.98,0,0
362,-0.98,0,0
363,-0.98,0,0
364,-0.99,0,0
365,-0.99,244,-12
366,-0.99,244,-12
367,-0.99,244,-12
368,-0.99,244,-12
369,-0.99,244,-12
370,-1,244,-12
371,-1,244,-12
372,-1,244,-12
373,-1,244,-12
374,-1,244,-12
375,-1,244,-12
376,-1,244,-12
377,-1,244,-12
378,-1,244,-12
379,-1,244,-12
380,-1,244,-12
381,-1,244,-12
382,-1,244,-12
383,-1,244,-12
384,-1,245,-11
385,-0.99,245,-11
386,-0.99,245,-11
387,-0.99,245,-11
388,-0.99,245,-11
389,-0.99,245,-11
390,-0.98,246,-10
391,-0.98,246,-10
392,-0.98,246,-10
393,-0.98,246,-10
394,-0.97,246,-10
395,-0.97,247,-9
396,-0.97,247,-9
397,-0.96,247,-9
398,-0.96,247,-9
399,-0.96,247,-9
400,-0.95,247,-9
401,-0.95,248,-8
402,-0.94,248,-8
403,-0.94,248,-8
404,-0.94,248,-8
405,-0.93,248,-8
406,-0.93,248,-8
407,-0.92,248,-8
408,-0.92,249,-7
409,-0.91,249,-7
410,-0.91,249,-7
411,-0.9,249,-7
412,-0.89,249,-7
413,-0.89,249,-7
