Sample no,sin(x),Inclinometer Y,Inclinometer Y (-256; 256)
1,0.25,0,0
2,0.53,0,0
3,0.75,0,0
4,0.91,0,0
5,0.99,0,0
6,0.98,0,0
7,0.89,0,0
8,0.72,0,0
9,0.48,0,0
10,0.2,0,0
11,-0.09,0,0
12,-0.39,0,0
13,-0.64,0,0
14,-0.84,0,0
15,-0.96,0,0
16,-1,0,0
17,-0.95,0,0
18,-0.81,0,0
19,-0.59,0,0
20,-0.33,0,0
21,-0.03,0,0
22,0.27,0,0
23,0.54,0,0
24,0.76,0,0
25,0.92,0,0
26,0.99,0,0
27,0.98,0,0
28,0.88,0,0
29,0.71,0,0
30,0.47,0,0
31,0.19,0,0
32,-0.11,0,0
33,-0.4,0,0
34,-0.65,0,0
35,-0.85,0,0
36,-0.97,0,0
37,-1,0,0
38,-0.94,0,0
39,-0.8,0,0
40,-0.58,0,0
41,-0.32,0,0
42,-0.02,0,0
43,0.28,0,0
44,0.55,0,0
45,0.77,0,0
46,0.92,0,0
47,1,0,0
48,0.98,0,0
49,0.88,0,0
50,0.7,0,0
51,0.46,0,0
52,0.18,0,0
53,-0.12,0,0
54,-0.41,0,0
55,-0.66,0,0
56,-0.85,0,0
57,-0.97,0,0
58,-1,0,0
59,-0.94,0,0
60,-0.79,0,0
61,-0.57,0,0
62,-0.3,0,0
63,-0.01,0,0
64,0.29,0,0
65,0.56,0,0
66,0.78,0,0
67,0.93,0,0
68,1,0,0
69,0.98,0,0
70,0.87,0,0
71,0.69,0,0
72,0.45,0,0
73,0.17,0,0
74,-0.13,0,0
75,-0.42,0,0
76,-0.67,0,0
77,-0.86,0,0
78,-0.97,0,0
79,-1,0,0
80,-0.93,0,0
81,-0.78,0,0
82,-0.56,0,0
83,-0.29,0,0
84,0.01,0,0
85,0.3,0,0
86,0.57,0,0
87,0.78,0,0
88,0.93,0,0
89,1,0,0
90,0.98,0,0
91,0.87,0,0
92,0.68,0,0
93,0.44,0,0
94,0.16,0,0
95,-0.14,0,0
96,-0.43,0,0
97,-0.68,0,0
98,-0.86,0,0
99,-0.98,0,0
100,-1,0,0
101,-0.93,0,0
102,-0.78,0,0
103,-0.55,0,0
104,-0.28,0,0
105,0.02,0,0
106,0.31,0,0
107,0.58,0,0
108,0.79,0,0
109,0.94,0,0
110,1,0,0
111,0.97,0,0
112,0.86,0,0
113,0.67,0,0
114,0.43,0,0
115,0.14,0,0
116,-0.15,0,0
117,-0.44,0,0
118,-0.69,0,0
119,-0.87,0,0
120,-0.98,0,0
121,-1,0,0
122,-0.92,0,0
123,-0.77,0,0
124,-0.54,0,0
125,-0.27,0,0
126,0.03,0,0
127,0.33,0,0
128,0.59,0,0
129,0.8,0,0
130,0.94,0,0
131,1,0,0
132,0.97,0,0
133,0.85,0,0
134,0.66,0,0
135,0.41,0,0
136,0.13,0,0
137,-0.17,0,0
138,-0.45,0,0
139,-0.7,0,0
140,-0.88,0,0
141,-0.98,0,0
142,-0.99,0,0
143,-0.92,0,0
144,-0.76,0,0
145,-0.53,0,0
146,-0.25,0,0
147,0.05,0,0
148,0.34,0,0
149,0.6,0,0
150,0.81,0,0
151,0.95,0,0
152,1,252,-4
153,0.96,253,-3
154,0.83,253,-3
155,0.63,254,-2
156,0.36,254,-2
157,0.07,254,-2
158,-0.24,254,-2
159,-0.52,255,-1
160,-0.76,255,-1
161,-0.92,0,0
162,-1,0,0
163,-0.98,0,0
164,-0.87,0,0
165,-0.69,0,0
166,-0.44,0,0
167,-0.15,0,0
168,0.15,0,0
169,0.43,0,0
170,0.68,0,0
171,0.87,0,0
172,0.97,0,0
173,1,0,0
174,0.93,0,0
175,0.79,0,0
176,0.57,0,0
177,0.3,0,0
178,0.01,0,0
179,-0.28,0,0
180,-0.56,0,0
181,-0.78,0,0
182,-0.93,0,0
183,-1,0,0
184,-0.97,0,0
185,-0.86,0,0
186,-0.67,255,-1
187,-0.41,255,-1
188,-0.11,255,-1
189,0.2,254,-2
190,0.48,254,-2
191,0.73,254,-2
192,0.9,253,-3
193,0.99,253,-3
194,0.99,253,-3
195,0.89,253,-3
196,0.72,252,-4
197,0.47,252,-4
198,0.18,252,-4
199,-0.12,252,-4
200,-0.42,252,-4
201,-0.68,252,-4
202,-0.87,253,-3
203,-0.98,253,-3
204,-0.99,253,-3
205,-0.91,253,-3
206,-0.74,253,-3
207,-0.5,253,-3
208,-0.2,253,-3
209,0.11,253,-3
210,0.42,253,-3
211,0.68,253,-3
212,0.87,253,-3
213,0.98,253,-3
214,0.99,253,-3
215,0.91,253,-3
216,0.73,253,-3
217,0.48,253,-3
218,0.19,254,-2
219,-0.12,254,-2
220,-0.43,254,-2
221,-0.69,254,-2
222,-0.89,255,-1
223,-0.99,255,-1
224,-0.99,255,-1
225,-0.89,255,-1
226,-0.7,255,-1
227,-0.44,255,-1
228,-0.13,254,-2
229,0.19,254,-2
230,0.48,254,-2
231,0.73,254,-2
232,0.91,254,-2
233,0.99,254,-2
234,0.98,253,-3
235,0.87,253,-3
236,0.68,253,-3
237,0.42,253,-3
238,0.11,253,-3
239,-0.2,253,-3
240,-0.5,253,-3
241,-0.75,253,-3
242,-0.92,253,-3
243,-1,252,-4
244,-0.97,252,-4
245,-0.85,252,-4
246,-0.64,252,-4
247,-0.37,251,-5
248,-0.06,251,-5
249,0.26,251,-5
250,0.54,251,-5
251,0.77,250,-6
252,0.93,250,-6
253,1,250,-6
254,0.97,250,-6
255,0.86,250,-6
256,0.67,250,-6
257,0.41,250,-6
258,0.12,250,-6
259,-0.19,250,-6
260,-0.48,250,-6
261,-0.72,250,-6
262,-0.9,250,-6
263,-0.99,250,-6
264,-0.99,251,-5
265,-0.88,251,-5
266,-0.7,251,-5
267,-0.45,251,-5
268,-0.15,251,-5
269,0.16,251,-5
270,0.45,251,-5
271,0.7,251,-5
272,0.88,251,-5
273,0.98,251,-5
274,0.99,251,-5
275,0.91,251,-5
276,0.74,251,-5
277,0.5,251,-5
278,0.22,251,-5
279,-0.09,252,-4
280,-0.39,252,-4
281,-0.65,252,-4
282,-0.85,252,-4
283,-0.97,252,-4
284,-1,253,-3
285,-0.93,253,-3
286,-0.77,253,-3
287,-0.54,253,-3
288,-0.25,253,-3
289,0.06,253,-3
290,0.36,253,-3
291,0.62,253,-3
292,0.83,253,-3
293,0.96,253,-3
294,1,253,-3
295,0.95,253,-3
296,0.81,253,-3
297,0.59,254,-2
298,0.32,254,-2
299,0.02,254,-2
300,-0.29,254,-2
301,-0.57,254,-2
302,-0.79,254,-2
303,-0.94,254,-2
304,-1,254,-2
305,-0.96,254,-2
306,-0.83,254,-2
307,-0.62,254,-2
308,-0.35,253,-3
309,-0.05,253,-3
310,0.26,253,-3
311,0.54,253,-3
312,0.77,253,-3
313,0.93,253,-3
314,1,253,-3
315,0.97,253,-3
316,0.86,253,-3
317,0.67,253,-3
318,0.41,253,-3
319,0.12,253,-3
320,-0.19,253,-3
321,-0.48,253,-3
322,-0.73,253,-3
323,-0.9,253,-3
324,-0.99,253,-3
325,-0.98,253,-3
326,-0.88,253,-3
327,-0.68,253,-3
328,-0.41,253,-3
329,-0.1,253,-3
330,0.21,253,-3
331,0.51,253,-3
332,0.75,253,-3
333,0.92,253,-3
334,1,252,-4
335,0.98,252,-4
336,0.86,252,-4
337,0.66,252,-4
338,0.39,252,-4
339,0.09,252,-4
340,-0.23,253,-3
341,-0.52,253,-3
342,-0.76,253,-3
343,-0.93,252,-4
344,-1,252,-4
345,-0.97,252,-4
346,-0.84,252,-4
347,-0.62,252,-4
348,-0.34,252,-4
349,-0.03,252,-4
350,0.29,251,-5
351,0.57,251,-5
352,0.8,251,-5
353,0.94,251,-5
354,1,251,-5
355,0.96,251,-5
356,0.82,251,-5
357,0.6,251,-5
358,0.32,251,-5
359,0.01,251,-5
360,-0.3,251,-5
361,-0.58,251,-5
362,-0.81,251,-5
363,-0.95,251,-5
364,-1,251,-5
365,-0.94,251,-5
366,-0.79,251,-5
367,-0.56,251,-5
368,-0.27,251,-5
369,0.04,251,-5
370,0.35,251,-5
371,0.63,251,-5
372,0.84,251,-5
373,0.97,251,-5
374,1,251,-5
375,0.93,251,-5
376,0.78,251,-5
377,0.54,251,-5
378,0.26,251,-5
379,-0.04,251,-5
380,-0.34,252,-4
381,-0.61,252,-4
382,-0.83,252,-4
383,-0.96,252,-4
384,-1,252,-4
385,-0.94,252,-4
386,-0.8,252,-4
387,-0.57,252,-4
388,-0.29,252,-4
389,0.01,252,-4
390,0.31,252,-4
391,0.59,252,-4
392,0.8,252,-4
393,0.95,252,-4
394,1,252,-4
395,0.96,252,-4
396,0.83,252,-4
397,0.63,252,-4
398,0.36,252,-4
399,0.06,252,-4
400,-0.24,253,-3
401,-0.53,253,-3
402,-0.76,253,-3
403,-0.92,253,-3
404,-1,253,-3
405,-0.97,254,-2
406,-0.86,254,-2
407,-0.66,254,-2
408,-0.39,254,-2
409,-0.09,254,-2
410,0.22,254,-2
411,0.5,254,-2
412,0.74,254,-2
413,0.91,254,-2
414,0.99,254,-2
415,0.98,254,-2
416,0.88,254,-2
417,0.7,255,-1
418,0.45,255,-1
